originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
2476397325 23907129  60968   443    6     1
384162948 721978123  19139   443    6     4
257157364 2579592652  42239   80    6     5
3483962116 3052811590  8665   55736    6     1
730555745 17804973  6875   9339    6     1
3594586976 59349549  40565   80    6     5
730555774 99651588  22686   9339    6     1
2593587305 3327463662  22571   80    6     11
3402455622 602983415  42609   443    6     13
2218467346 3327712049  12540   43356    17     15
2313531562 2579574364  44840   443    6     7
2153010295 66850148  34619   9001    6     1
1102477588 602983364  39019   443    6     18
2341638433 602983364  43731   443    6     3
3084416843 23107475  61554   80    6     2
1783899860 16920503  46988   9339    6     1
3483871830 23111478  31279   443    6     103
973977390 737993104  57876   443    6     7
1746879702 1711534799  443   54856    6     8
1176823170 3626675425  55211   53    6     2
1139241655 3692795744  10816   19848    17     15
3327712508 3327712048  31032   16104    17     15
204364000 66642829  49683   443    6     7
2344883035 1711325385  10784   36081    17     51
1171044651 734971969  63182   80    6     2
730555802 17765265  5313   9339    6     1
730555770 22100091  11316   9339    6     2
3347135713 24105186  3667   52011    6     12
1146560177 3703109387  39538   53    17     1
3597367062 3327712116  11000   35726    17     15
1510632646 1875764348  51451   8080    17     1
2455265169 1714176764  49229   3389    6     22
730555656 16962131  7788   9339    6     4
3481818302 23111367  18736   443    6     27
1812713388 23111642  39265   443    6     147
1695562467 3327463661  58508   80    6     12
2042557447 737133418  57726   443    6     3
3542209934 1093332305  51065   80    6     3
3327712493 3327712022  22716   41608    17     15
3481810568 23111503  29498   443    6     30
730555766 19325884  38969   9339    6     1
1310668491 1875712465  8621   50766    17     1
3327711880 3327712048  57234   34976    17     15
1751858204 2579574459  64357   80    6     3
1272947441 100430796  49837   80    6     3
730555768 26425636  30559   9339    6     2
3484017900 2310425018  23603   443    6     2
3483137470 23111660  58314   443    6     193
2747478986 23110834  37149   443    6     172
100323699 2472883261  49872   80    6     6
1139244735 100432394  25986   41396    17     15
973718716 2579592570  39063   80    6     2
1956922612 1797008531  11760   443    6     2
1838352478 22738387  2645   9339    6     1
1968856649 53220504  56417   10030    17     18
1805944826 23906324  41143   80    6     2
2011884545 23111654  43265   443    6     14
2153006673 1797106373  47762   9339    6     1
723739181 602983421  55902   80    6     7
1139241650 3692795753  16616   18688    17     15
3692777687 724248610  2001   2001    17     4
2159469437 3632944451  44115   80    6     1
3327712493 3327712048  39824   37372    17     15
1670602173 19004826  7869   7985    17     16
1878692162 1875764389  37784   5453    17     40
1878974804 3530307825  34484   80    6     3
3719066658 2579574336  59282   443    6     2
2634918567 1875764394  443   57281    6     175
656845097 3530315444  63739   80    6     3
3630809075 602983415  47080   443    6     4
2122107275 2579574629  45058   443    6     2
3692778512 66942355  46230   443    6     1
1912611430 66864917  60215   80    6     3
2451649163 1225188231  80   59233    6     1
3489639209 60271289  51093   443    6     3
1258031224 737993205  51588   1935    6     25
1814796296 23111450  51801   443    6     74
1956940856 737135090  42351   443    6     1
3481416804 23111372  37828   443    6     1
1826039162 19671733  52155   80    6     8
1098753103 721995982  53229   80    6     1
204336274 737118809  45232   80    6     2
730555753 17573443  46501   9339    6     1
2313405823 3710835915  36045   80    6     39
1234240567 3530307825  55252   80    6     3
1476077714 1225159124  37835   51413    17     91
2077921931 1797213736  63411   443    6     3
3141492247 3530307824  43562   80    6     3
1701269136 1093333248  49384   443    6     2
666228581 2310533828  2917   443    6     10
2150496657 23111349  3298   443    6     43
1113877166 23838419  14226   80    6     2
1101089532 1158353851  12264   443    6     17
730555771 17802978  14158   9339    6     1
3525132207 1130587428  80   64042    6     4
2342498491 602983415  25809   443    6     2
257157354 2579592652  43982   80    6     3
1867817385 3327463661  32822   80    6     1
1099874583 3531647716  443   45649    6     7
730555785 19325884  47328   9339    6     1
730555808 17765265  62852   9339    6     2
1258123566 737993214  54248   1935    6     62
3691266424 1797183885  10031   443    6     1
2862835674 100426854  17792   80    6     4
1693571516 724248746  56735   80    6     152
662432429 602983422  52181   443    6     37
730555805 17564197  40236   9339    6     1
2151256222 23111441  42702   443    6     92
3347466977 2579574649  57865   443    6     4
840550488 23127989  62442   443    6     10
3083610247 26340367  56125   8253    6     1
2453643705 99686241  36374   80    6     1
2185007861 23482306  63849   80    6     2
3387317940 721992481  4203   443    6     1
2218467351 3327712049  16658   51952    17     15
730555770 19267887  64523   9339    6     1
2341732801 602983415  57470   443    6     15
3481516743 23111349  63861   443    6     37
3327712556 3327712048  21044   22214    17     15
1895041777 99874293  38519   443    6     2
2579600924 3710836041  1935   46539    6     6
2187210003 1875764325  12298   1367    17     27
1098939005 3530325998  31351   443    6     27
1913770215 23906130  34237   443    6     4
3481959951 23111367  40418   443    6     92
730555772 16962131  19615   9339    6     3
3312762750 23104734  46781   443    6     155
2552290969 0  0   0    252     295
730555772 26951074  22059   9339    6     1
2153006847 26515683  18570   9339    6     2
2479494968 3327463661  32482   80    6     119
1711696111 2579574488  53997   80    6     1
3674902386 3710836121  52556   9042    17     18
2256875501 2846855221  45509   42012    17     1
3597184515 602983364  51556   443    6     5
3088415618 3547001370  80   50868    6     2
1805950061 66811569  41544   443    6     1
1913195569 21041355  34604   80    6     2
1139241650 3692795754  23398   29826    17     15
3696224642 26420899  6454   9339    6     5
1098200266 731109534  18790   80    6     3
1800334028 3530307825  49162   80    6     3
3713755786 1758553095  46933   1194    17     55
3327712493 3327712048  29088   24178    17     15
2452410002 2579574693  61103   443    6     5
2341638416 602983364  55021   443    6     10
2362188463 3720596652  3389   1078    6     9
730555746 19068949  49436   9339    6     15
2012343778 23464604  6029   443    6     2
1832244987 60205365  2199   26209    6     1
1838352495 26651413  40482   9339    6     1
2010945858 23111332  51950   443    6     40
666331994 20996811  61101   80    6     7
2077852417 99825037  51198   443    6     3
3579713855 1797086550  60911   443    6     1
1805949850 736908462  59533   80    6     3
667771967 100432424  51143   41056    17     15
3344537066 67043728  58319   443    6     8
1906670612 23111433  51375   443    6     16
3481802718 23111367  8751   443    6     95
1671311014 59002657  44379   8100    6     6
1827312184 3328289648  53227   1900    17     1
2153010298 66859569  26585   443    6     15
1783899791 17802978  60410   9339    6     1
723113040 2579574387  37848   443    6     20
1711696110 66990691  34726   80    6     14
2830005498 602983415  23741   443    6     26
1886889179 2310421684  34873   443    6     1
