originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 
1783899786 26617408  61447   9339    6     2
1783899909 19267887  14100   9339    6     4
730555795 16932734  6894   9339    6     2
1341309570 3710835973  45073   80    6     1
730555797 17573443  6094   9339    6     1
1189653034 100422361  10703   80    6     14
730555765 16932734  63630   9339    6     2
1190737811 3347379521  8172   443    6     1
730555777 16920503  35298   9339    6     2
730555818 26880108  11292   9339    6     2
1224797142 1115911035  80   57236    6     15
730555753 16932734  1433   9339    6     2
730555774 16922196  41957   9339    6     8
23871944 2439506750  51664   80    6     3
1832185020 59496186  1206   3478    17     1
2139162856 66905911  54485   80    6     1
3596825213 2579592567  33632   80    6     5
1956914303 99815840  43934   443    6     1
730554381 17802978  22634   9339    6     1
2298363396 1875764377  80   60956    6     1
1825933772 23905912  47045   443    6     3
1838352396 19207164  11916   9339    6     1
730555792 21792296  54528   9339    6     1
3080610212 52979270  51856   443    6     2
3596686999 2579592549  49379   80    6     6
2183644081 23110808  48563   443    6     7
1971090549 23905194  55843   80    6     2
1721757651 3530299929  53189   5660    6     6
3481813944 23111367  44867   443    6     16
730555777 24050628  47421   9339    6     1
3619443778 602983364  60848   443    6     22
730555798 1797105836  59146   9339    6     1
1551217408 2579574572  42908   1485    17     7
1123970306 3704354837  443   5743    6     1
1239830775 734964507  53566   80    6     1
3182555897 3547002475  46731   80    6     2
2186112227 19769463  41048   80    6     2
256159497 21023149  8080   8860    6     8
2116297434 23751706  53   58459    17     1
730555763 16932734  3661   9339    6     1
730555800 16962131  63126   9339    6     1
730555816 16835430  22928   9339    6     1
1753269275 724248602  17518   80    6     5
730555777 1797105836  6488   9339    6     1
3547138392 100426821  36811   8004    6     3
1877406409 3530307827  54629   80    6     3
23871853 23905978  18214   443    6     3
3401346181 2439472956  51144   443    6     1
3354387473 723851586  9054   61633    6     3
2341638437 602983364  34291   443    6     3
864802477 1714138362  60733   443    6     28
24513419 3326272533  53   1129    17     1
3524720745 3546996050  443   43945    6     8
2579597452 731118807  443   37937    6     15
1967676700 60270711  50436   443    6     3
2346130783 602983422  51606   443    6     85
730555766 26425636  62998   9339    6     1
1123010793 2828227973  44099   443    6     6
3597182446 602983411  50254   443    6     2
392573554 1711529153  30272   49437    6     1
822284557 2828223902  65460   443    6     1
1956940088 737135090  53757   443    6     1
3562362899 99716381  9973   9339    6     1
2514485191 2828223754  34442   443    6     6
730555768 21792296  5194   9339    6     2
1981089683 3328266298  62727   53    17     1
1087874754 3504996068  55307   443    6     6
1838352470 22738387  63316   9339    6     1
1671311029 21123346  54788   8100    6     5
96074209 1257170897  443   12070    6     4
2070385130 21104507  52946   443    6     1
3696224736 23513371  23783   443    6     3
232972308 3722030211  47339   110    6     1
3405589517 23117867  53875   80    6     3
1227203983 3530301539  46026   8080    6     1
3572420689 1797219222  63087   443    6     2
1111407732 734963322  59025   443    6     3
1113226176 734983515  51808   80    6     3
1221341375 2637498115  64530   5938    6     2
1246719454 3710835736  48206   80    6     6
730622188 3633624851  13228   56873    6     20
2042211369 60774863  769   40129    1     3
1118805466 2405636636  19820   443    6     5
1862133197 2846861711  26862   56965    6     28
1247193168 100426821  4127   8004    6     7
1237412344 1012762564  38665   54974    6     5
257157350 2579592448  443   54191    6     2
730555789 16881078  9666   9339    6     1
1838352616 24038194  63843   9339    6     1
3619443780 602983364  40586   443    6     1
1956958226 736899832  12015   80    6     1
2184866176 26219480  49477   80    6     3
2360515697 2579574398  38417   443    6     4
3524721023 3546996050  443   43822    6     7
1101171499 66824666  80   27211    6     4
1091665108 1875764365  30001   44530    6     1
2051978984 99646700  62570   443    6     2
3435293902 0  0   0    10     1
3080567849 2310412065  59575   80    6     1
1087049297 1158353675  28506   443    6     2
3757800679 734972677  49002   443    6     3
3408028535 66811984  52695   80    6     5
730555766 16962131  13756   9339    6     1
730555771 19267887  47917   9339    6     1
3692778520 724248606  80   32295    6     5
1886279908 23111464  26751   443    6     28
1671310434 19872776  51005   8100    6     6
1874255821 100412011  59386   80    6     4
2462254574 100427415  53942   80    6     3
3640441861 3710507830  33277   443    6     1
2180386888 1156136268  25   34506    6     21
3347129239 59435683  38134   80    6     1
1671310434 19734205  59597   8100    6     2
1691141799 3530318738  38466   80    6     3
2579601265 3710835891  443   57456    6     1
1105898180 3530302708  53   1746    17     1
1805944617 1797126337  50025   80    6     6
2458997732 3530305953  53455   80    6     2
251547369 3326852189  46582   53    17     1
660448655 2705660452  49150   123    17     1
1671310458 19816983  49328   8100    6     4
3345992274 731293778  43910   80    6     1
2336983758 385031784  771   64760    1     1
1805950101 737119651  59895   443    6     6
2153054066 2310417975  18124   443    6     3
730555774 23563012  43485   9339    6     1
1928361144 23487617  60614   443    6     2
1113913750 3547002475  19570   80    6     1
3479218287 26820627  57201   443    6     3
730555751 17802978  7455   9339    6     1
1956938295 23737842  11978   9339    6     1
1440898269 1760528571  49224   21639    17     11
2588821250 734971232  50278   80    6     1
938736522 721995731  24644   80    6     1
730555794 19033841  63923   9339    6     1
730555789 26951074  54635   9339    6     1
730555656 24050628  3570   9339    6     1
1783899870 16918200  35252   9339    6     1
3696224725 737148559  23097   443    6     3
2015110388 2579574396  60726   443    6     1
1227392317 100424407  64995   80    6     8
1685798617 314623612  54111   80    6     15
2579599218 737992937  80   62302    6     4
2341638414 602983364  10229   443    6     9
604303425 23477050  31375   443    6     1
1967338880 19682172  63694   3478    17     2
1907739678 26338217  60799   8253    6     2
1304169008 2846857533  60410   6881    6     1
1925553972 3710835973  50922   80    6     4
1956961203 22802809  45674   443    6     3
730555746 26425636  1783   9339    6     1
730555773 22100091  40123   9339    6     1
2398203350 602983422  40672   443    6     15
2165532774 23513371  49957   443    6     11
88732374 2313561913  23901   443    6     9
1122868793 724248798  64808   80    6     7
973670305 3710835765  57845   443    6     5
1956921999 26880347  63550   9339    6     1
730555772 19114671  18252   9339    6     2
2085196792 0  0   0    244     10
1430799341 1875764460  33817   54239    17     1
730555770 16918200  40318   9339    6     1
1110989298 1875764365  30001   49050    6     1
2465160515 2579592535  49451   80    6     4
2149750795 23487908  12428   80    6     2
1886908769 2310427055  10807   443    6     1
1864759959 66682945  11215   80    6     2
1805949849 59503434  36787   80    6     4
1246725280 3710835750  53688   80    6     4
730555787 19267887  2139   9339    6     1
3379656453 60290124  47441   443    6     1
3082283138 736888821  53663   443    6     5
1838352451 26651413  53124   9339    6     1
666237778 23486918  54369   80    6     3
730555770 21792296  17349   9339    6     2
1149015950 26277689  39370   443    6     5
849266681 23513163  10508   80    6     1
1838352474 19068949  65523   9339    6     1
1838990691 24949752  62616   443    6     2
1839011705 23829512  56407   443    6     1
3538704276 602983408  17766   443    6     1
1149016002 19111945  55000   5558    17     1
2579601185 2579574603  80   45852    6     4
2476397058 3327463662  54905   80    6     8
1670181654 23105976  59929   80    6     1
2593630331 724248829  15030   80    6     2
2051366407 65991270  3512   443    6     1
1783899870 24050628  3377   9339    6     5
730555753 19325884  29100   9339    6     1
3481861629 23111367  12546   443    6     5
3544321312 3547002475  19092   80    6     1
3152392378 3530307827  49307   80    6     1
1149160767 3715681602  443   61127    6     1
1812291081 23111626  7144   443    6     3
3575236657 23118461  12845   443    6     1
2150545590 23486153  60051   443    6     2
2298277095 724248602  2001   2001    17     3
2153009450 16958771  23057   9339    6     1
3361206745 1099824799  6881   45507    17     1
1956924373 60278191  56704   80    6     2
730555787 16881078  42083   9339    6     1
1113913454 3547002475  18725   80    6     1
1991426182 26753323  58842   9339    6     4
3581296635 23839688  55456   443    6     3
1671310434 59061308  57559   8100    6     1
730555776 17804973  49649   9339    6     1
3701690824 2751363193  7351   49881    17     1
730555786 16922196  59973   9339    6     7
1671310458 19734864  47263   8100    6     2
1261589383 724248742  58704   443    6     18
730555762 2310469933  43165   9339    6     3
1875726684 1875764365  30001   57167    6     1
1246725281 3710835771  56082   80    6     4
591583715 1875764382  39556   21725    6     1
1783899795 1797105836  10464   9339    6     2
1864759770 24053598  43210   80    6     4
3444216734 3703109387  49684   53    17     1
730555797 16881078  61588   9339    6     1
1097183913 731103684  53212   443    6     3
730555767 19033841  16714   9339    6     1
2057124156 26318597  58665   80    6     1
1246719452 3710835771  36510   80    6     7
1838352451 16962131  41085   9339    6     1
1671310356 19827676  58713   8100    6     2
1968117212 23811516  56058   443    6     1
172718637 736922908  51124   443    6     1
1956921753 23118180  49188   443    6     1
602981105 736140682  443   12693    6     16
1095318569 724248784  54008   443    6     14
3269208598 3710835828  60093   443    6     9
1888988140 3710835829  51160   443    6     2
3415714515 21763830  57478   80    6     2
824714703 3710507840  48499   443    6     1
3597184533 602983371  35556   443    6     5
1190935030 3547002475  9079   80    6     3
2767814284 0  0   0    255     1
299155953 3504996105  55229   443    6     5
2579601187 3504996298  80   38375    6     11
1137632088 1714137406  52218   443    6     11
3345138697 3548110611  16336   53    17     1
1805949450 23131481  42229   443    6     9
3084239196 65886241  51334   443    6     29
2153050550 99864119  62370   443    6     2
730555800 27136379  3640   9339    6     1
1828066533 20980975  60188   80    6     1
1821131363 26516333  17660   26746    6     1
730555771 26617408  20990   9339    6     1
1113880474 1093329980  29531   6140    6     4
1991412568 19875635  39293   443    6     3
3623955513 3384391953  46801   53    17     1
1081703638 1158353691  40446   443    6     31
666336110 1797117305  50497   443    6     1
734859539 2579592484  53731   80    6     2
2341638446 602983364  41114   443    6     39
1617131149 23483447  25637   443    6     6
3573916092 66817152  7607   80    6     3
730555780 22100091  51229   9339    6     1
2361650402 3720596652  3389   1238    6     20
1158628208 722836099  20803   80    6     2
2186112050 737094195  49188   80    6     1
730555809 16835430  30730   9339    6     1
2579601186 2579574762  80   33572    6     3
2116646597 1797021094  61638   80    6     1
2601199363 734963322  15740   80    6     2
730555804 23570923  6847   9339    6     1
730555748 99651588  40171   9339    6     1
730555661 17807025  49754   9339    6     1
1246725284 3710835750  48242   80    6     4
2595012532 2579609703  23865   3489    17     9
183708523 736905155  56419   443    6     3
1460923974 2579574380  51686   443    6     4
2313531550 3710835768  43523   443    6     15
2060578015 99684944  59408   443    6     4
344508697 724248605  64725   443    6     3
227341628 18884448  50465   443    6     8
2344097689 602983364  14127   443    6     21
1925553983 737993041  34513   80    6     4
730555802 99665261  33966   9339    6     1
2747476446 65884861  52371   443    6     2
1970566256 2310414582  48453   80    6     3
1889288974 23105304  60230   443    6     6
3524721023 3546973361  443   13444    6     7
730555656 16932734  35136   9339    6     2
730555797 1797105836  50275   9339    6     2
3327745266 1158353796  50891   443    6     1
1928565061 23838643  51368   80    6     2
1671310459 58985818  52130   8100    6     4
730555773 26872452  19753   9339    6     1
3524721023 3546973361  443   13537    6     7
1838352614 21792296  10886   9339    6     1
730555761 17804973  14792   9339    6     1
1888987378 3530300009  52459   80    6     11
1800300585 724248746  58947   443    6     5
1928249725 26822041  61652   443    6     1
1246725280 3710835716  58280   80    6     4
1956824786 23811213  36504   443    6     8
2341638441 602983381  15924   80    6     44
730555787 16918200  57369   9339    6     1
1246719452 3710835839  64090   80    6     6
730555761 16962131  50727   9339    6     1
3617879016 602983364  58994   443    6     9
3537681812 2310445681  771   8942    1     2
3350759222 1714137260  52703   443    6     2
3326272020 1712226938  43933   53    17     1
1957012067 2579574468  61454   80    6     65
3599296721 3720596652  3389   3996    6     8
1224770774 737993468  39213   1485    17     19
1426278901 3376310684  15783   443    6     3
730555019 16932734  6921   9339    6     1
2463084682 100426821  4161   8006    6     7
498691616 721997462  2745   443    6     2
3597184540 602983408  39324   443    6     3
730555657 17038160  12091   9339    6     1
3498218903 97516102  35493   80    6     3
805679427 256242753  25984   53    17     1
3691266362 19890606  32084   80    6     2
3597184534 602983364  40358   443    6     6
1783899899 21792296  35520   9339    6     3
730555777 22100091  52691   9339    6     1
1860102910 3710835768  52761   443    6     1
1246725284 3710835739  55740   80    6     4
1671310458 21123346  31277   8100    6     4
3083035226 1796998304  58775   443    6     2
3548110116 3326272529  53   20525    17     1
723315658 1257170362  443   33401    6     1
2078806342 26252627  49845   9000    6     2
2071896271 24904148  33263   443    6     1
2298277090 724248595  2001   2001    17     4
2012343750 23480223  14267   443    6     4
3511653444 3710835880  80   62951    6     5
3597184519 602983364  51074   443    6     2
2207481186 100432183  52707   80    6     3
730555798 16922196  51284   9339    6     1
2341638447 602983364  15307   443    6     2
1276045531 60774281  35846   443    6     2
23871946 23905648  36277   443    6     4
2463264784 3693459033  64703   53    17     1
3341333589 3530307827  59309   80    6     6
730555783 23428916  48202   9339    6     1
2341638418 602983364  46805   443    6     5
730555753 2310469933  11225   9339    6     1
730555752 17573443  15372   9339    6     3
2462073879 3530307824  59983   80    6     3
1111407732 734963322  59335   443    6     5
1520009929 1158353678  55469   443    6     13
666235311 19861646  11742   80    6     3
2388827534 2579574364  57022   443    6     1
1224763149 731118830  53   45244    17     1
2127052858 16940719  38176   9339    6     1
1805944535 65858137  44122   80    6     2
730555803 26886092  7075   9339    6     1
1110984189 1875764365  30001   36312    6     1
973963680 3504996085  59899   443    6     3
1103091057 2846863777  57067   60415    17     30
1671311014 26236935  57524   8100    6     5
1956922355 24944912  26895   443    6     1
1123010793 2828227973  21703   443    6     6
1192220944 1093332245  46274   80    6     2
1886902390 23476320  30749   443    6     2
730555783 21792296  43259   9339    6     1
865343151 1714138362  63167   443    6     2
2169002979 2579574631  55850   443    6     2
2153010439 16794295  45782   9339    6     1
730555749 16918200  34805   9339    6     1
1114244505 1093333271  12321   443    6     2
1246725284 3710835771  59820   80    6     5
3082118723 24938248  57720   443    6     3
2576072859 100427414  30837   80    6     4
1201755558 3530304411  47522   80    6     1
3524661136 3720603407  80   57286    6     477
668525882 1875764413  56091   9676    17     1
730555745 19114671  16811   9339    6     1
1783899859 19114671  1184   9339    6     1
3524721023 3546996050  443   43499    6     7
3085819084 66829299  51812   80    6     1
3662140667 2579592549  6470   80    6     4
730555804 19012239  24260   9339    6     1
1805944488 1797126337  60625   80    6     4
2012346016 23487544  12978   443    6     3
730554381 2310469933  33825   9339    6     2
730555016 23428916  51954   9339    6     2
3401536494 23497378  13787   9339    6     1
1864759943 23488071  20785   80    6     1
730555019 22100091  62925   9339    6     1
1671310356 19861680  33841   8100    6     2
251034987 734971345  57655   80    6     1
591859243 1758552630  59564   80    6     2
1230756434 1257175966  993   64164    6     1
2579600925 3710836041  1935   55237    6     6
2439804625 19752237  80   41376    6     1
2641434373 19667445  32199   443    6     8
3643756800 3710836092  37823   80    6     2
3402748750 23111654  58313   443    6     4
257157327 2579592491  34291   80    6     5
826588177 1148887233  38064   443    17     6
1168893940 3498099760  443   49883    6     3
1838352478 24050628  51237   9339    6     1
232989746 24937986  9947   443    6     6
1805944690 23520610  38402   80    6     6
314049338 1797028924  50054   443    6     1
1875739836 1875764365  30001   41307    6     1
2153011261 1797179306  45681   80    6     1
1864759605 26804507  27288   443    6     1
2479487066 3530315444  24895   80    6     3
2416788793 60199304  59812   80    6     2
730555800 16794434  64311   9339    6     1
2656375009 3710835891  80   52305    6     12
730555765 16794068  19705   9339    6     1
2313526300 3710835768  51644   443    6     8
730555806 26886092  60246   9339    6     1
1713170921 253570105  32980   80    6     4
2246019001 1760529478  43078   9999    6     4
2352915727 602983408  37437   443    6     3
3459673157 99861494  6004   443    6     1
3101665399 1875764462  56696   57123    17     1
730555763 16932734  37421   9339    6     1
1925554147 2579574504  41343   80    6     4
1736808041 100432375  39273   80    6     3
840550595 1797018001  51052   443    6     4
2115400079 17360826  65202   80    6     4
3574384873 1797005782  48703   80    6     1
730555746 27136379  10911   9339    6     1
2022908335 23111433  28555   443    6     6
1805949839 66035464  54562   80    6     9
2047276522 2310414557  51380   443    6     1
730555807 19282782  54487   9339    6     1
2182630315 23810798  16914   80    6     2
2122104814 2579574719  52819   443    6     2
1595528578 1875712499  50123   33550    17     1
730555778 23563012  25129   9339    6     2
1110983102 100417780  443   65259    6     5
1838352396 26617408  57115   9339    6     1
1864759640 59385306  34921   443    6     1
3481836842 23111367  37472   443    6     183
3597182441 602983364  56125   443    6     2
1276045851 23907571  63572   443    6     1
730555744 19267887  51623   9339    6     1
1838352451 19325884  2167   9339    6     1
1800327035 3530305953  24872   80    6     1
3624009531 1875764443  8999   19697    17     3
2218892236 602983415  44276   443    6     2
730555822 99665261  10188   9339    6     1
3697212716 731294924  21778   80    6     2
1671311029 19827676  56414   8100    6     5
2120314812 24034642  52458   9339    6     1
1805949562 52955898  44606   443    6     2
730555783 24050628  54715   9339    6     2
2641434501 19667451  50267   443    6     1
3503903810 721996158  57395   80    6     2
3387484158 3710507844  46437   443    6     2
1838352470 23563012  62322   9339    6     1
1944936920 23806291  33403   443    6     2
1719635452 3693459033  33337   53    17     1
3525124959 1498220988  443   34479    6     6
2042168680 23907519  60175   80    6     2
2401574414 3710835749  58268   443    6     2
2308978709 3710835728  80   37698    6     7
1875726685 1875764365  30001   40600    6     1
1595010385 3710835877  80   43387    6     5
730555821 2310461246  50466   9339    6     1
256577281 1875764388  80   34257    6     4
1739827506 314623176  6294   80    6     2
23887017 59391878  56963   80    6     2
3696224728 737145568  20259   443    6     1
1671310357 19833854  47512   8100    6     1
1246725282 3710835822  53416   80    6     4
2153010369 22802809  30516   443    6     1
3562732310 2446530302  59079   443    17     11
1864759893 60292698  21822   80    6     3
864313219 2579620755  53   28405    17     1
2366594689 1146386963  7053   51155    6     2
656829277 731299424  54664   443    6     8
252823356 2579574745  443   44790    6     1
730555808 26699966  43723   9339    6     1
2444289016 2579592691  38414   80    6     27
1142393462 3547000634  65382   5590    6     2
1875724116 1875764365  30001   53653    6     1
3618674795 602983422  49743   443    6     9
730555766 16962131  42522   9339    6     1
1604497244 2579592491  35103   443    6     8
1671310342 19903747  40595   8100    6     8
1783899858 19267887  50832   9339    6     1
2479484128 100424403  18306   80    6     3
2446569230 2313301336  11955   443    6     11
2579566049 3710835953  36930   80    6     1
1875724118 1875764365  30001   50685    6     1
1238954280 1148889095  54292   25    6     24
3273777037 602983415  2952   443    6     2
1539087823 2766908836  80   56242    6     22
1965708942 3519286768  58641   63717    17     5
3622657277 2579592662  36019   443    6     25
1538229458 497249470  27265   53    17     1
23871849 23117907  59783   443    6     3
730555753 19033841  20465   9339    6     3
1875723133 1875764365  30001   47825    6     1
2102925407 100432468  53391   80    6     3
1713100745 721993881  52725   443    6     7
3616118647 1714138260  49455   443    6     4
3524720745 3546996050  443   43947    6     8
2150462695 23111430  51622   443    6     10
730555760 26425636  44572   9339    6     1
730555762 99651588  58986   9339    6     2
1104883474 1714137779  11054   443    6     5
3619443802 602983364  50094   443    6     6
722779732 3711681641  80   14081    6     3
1113912783 3530315444  19901   80    6     3
1246725282 3710835830  35322   80    6     4
2576074866 3530320757  11049   80    6     3
1739604125 2313299321  50529   443    6     1
730555795 17630602  29617   9339    6     2
1974232270 3530307825  13846   80    6     3
2388815140 1166042981  6689   63894    17     7
3434669108 66650695  45421   4244    6     2
1845233557 66833357  63807   80    6     1
175351294 20594656  50506   80    6     1
2301637459 97516102  39922   80    6     6
3623955513 3711015668  11120   53    17     1
730555822 26886092  32840   9339    6     1
1661394620 23106869  49531   443    6     2
666237602 66651014  18713   4244    6     2
1671310342 19877067  56450   8100    6     2
3524721023 3546973565  443   49373    6     6
3623954592 603866148  443   20754    6     1
3142310458 3526528052  45107   443    6     8
2301637459 97516102  45423   80    6     6
97718741 2637498116  50677   5938    6     2
2116646130 18997956  47219   443    6     2
3619443805 602983364  8191   443    6     34
2187177950 66040880  27626   80    6     1
2828248656 2828211985  25   57627    6     26
3557524654 1797090623  25612   443    6     1
730555747 22738387  34802   9339    6     10
1905550616 26365024  63676   443    6     3
730555660 17807025  33102   9339    6     1
730555016 21792296  39798   9339    6     1
3603357498 3546975160  47015   3306    6     2
3692777676 724248604  61854   443    6     8
2341638445 602983364  17550   443    6     4
1239098629 2828223693  52417   443    6     2
316637788 1806409830  80   1860    6     1
1255120348 100432183  58483   80    6     1
257157326 2579592471  44740   80    6     1
3524721023 3546973565  443   49105    6     6
2341638451 602983364  30281   80    6     2
1865122470 721992692  50845   443    6     6
1662828812 2579592610  38215   80    6     1
3088415618 3547001370  80   51117    6     3
1119166172 2472880792  57442   80    6     2
23887028 23117913  43180   80    6     1
1753825976 731299424  49312   443    6     2
2514485191 2828223897  34496   443    6     6
603052203 2300818973  80   52231    6     4
3575236292 23906566  2048   9569    1     1
94416185 497691621  443   39246    6     1
722319545 2300577482  80   41210    6     4
1838352470 16851627  60600   9339    6     2
1753825976 731299424  49308   443    6     2
1928460065 66724852  5212   80    6     5
730555755 17038160  32089   9339    6     2
2153013226 16815153  10013   9339    6     1
498452404 734964507  32971   80    6     4
1189715036 3530307824  8942   80    6     3
314049341 18939548  52939   443    6     1
2341638463 602983364  5504   443    6     14
1783899859 2310469933  33567   9339    6     1
730555802 19012239  46927   9339    6     10
730555767 99651588  41214   9339    6     1
3525221586 1130475118  443   50148    6     17
1418983413 1166224067  53695   43484    6     8
2479484067 3530299929  25158   5660    6     2
2298277090 724248605  2001   2001    17     4
168202116 23907823  58051   80    6     1
1711709316 3710835915  51296   80    6     59
3597184529 602983371  44393   443    6     27
730555763 26651413  22039   9339    6     1
2922570968 1242353294  778   2235    1     2
1197082094 1148888366  31486   20450    50     1
730555806 17564197  25264   9339    6     1
2421919178 65798414  58968   80    6     1
1341309459 2579592652  44791   80    6     3
1956923075 2310532384  3950   443    6     1
2813156646 602983415  21397   443    6     2
1925554175 737993060  41215   80    6     15
3491589898 2579592658  0   37801    1     1
3483962215 23473683  62245   443    6     1
1737086052 1093332245  41787   80    6     3
1838352396 24038194  51851   9339    6     1
2453475261 66975161  11587   443    6     3
730555748 1797105836  42177   9339    6     2
864802392 1257162460  443   49159    6     5
2057219409 2310536811  62934   80    6     1
23871767 23905978  6491   443    6     3
1805949904 24914565  58575   443    6     3
730555799 736977147  53313   9339    6     1
1713206479 2579574504  46267   80    6     2
3600306477 2300819330  13676   30073    17     2
3544980775 1093333271  49810   443    6     1
317284513 2637241578  61068   63395    6     1
1107697288 3530318721  38380   1935    6     14
2387251578 722853624  0   14115    1     1
2153012213 24019448  59793   9339    6     1
84008245 2846861153  49638   60285    17     1
97086015 1782353385  53   40822    17     1
1265895615 1092291012  23064   21596    17     6
2341638413 602983364  34306   443    6     1
730555775 736977147  43127   9339    6     1
3597182460 602983364  58398   443    6     5
730555754 17630602  26384   9339    6     1
1969140672 21147893  62261   443    6     2
658671863 734964507  61888   80    6     4
1456220498 2579574689  59821   443    6     4
1956922445 19262790  4898   9339    6     1
3576619200 1245748119  443   41430    6     9
2449656498 1121273444  443   58354    6     8
3698614878 300601297  80   59575    6     4
3630226338 2751334485  80   11531    6     1
666230283 23127915  47498   443    6     3
1121241794 60811107  58023   443    6     1
2356655451 602983415  59024   443    6     8
1249838341 721977967  63296   443    6     1
1956939010 66650982  5080   4244    6     1
2462704769 3530304411  58012   80    6     2
1007527335 100432185  60786   80    6     2
1159124913 2379611526  443   60634    6     3
2579597444 731118620  80   53283    6     1
2579601192 3710835966  80   61052    6     1
395659764 3624976158  26728   53    17     1
2512437961 100430793  43591   8000    6     3
730555822 2310461246  55134   9339    6     1
2634953705 22747785  10000   58033    6     1
2747495428 21157986  51421   443    6     19
1246725280 3710835830  61260   80    6     4
2298277091 724248630  60363   80    6     7
2119117070 66819279  59198   80    6     5
1159124913 2379611526  443   60278    6     7
2183251937 737148676  59138   80    6     1
730555766 16962131  27239   9339    6     10
3524525039 3326272529  53   44739    17     1
1670688525 67072854  80   27050    6     2
1159124913 2379611526  443   62612    6     8
730555777 16922196  15749   9339    6     1
1713074642 721998848  50127   443    6     7
218204687 23118358  58091   80    6     1
1739821240 734964507  51479   80    6     1
1967901865 737148354  36342   443    6     2
604308810 737136964  49982   443    6     2
1805949839 1797126337  35625   80    6     4
1671311015 59082223  58293   8100    6     2
730554389 16962131  9237   9339    6     1
1755037890 602983408  55099   443    6     1
1671311014 21123177  36979   8100    6     6
218212914 19137532  63404   443    6     1
1956938946 26753323  24792   9339    6     1
2397583919 602983415  27632   443    6     3
3082473310 19015986  55940   1935    6     3
730555772 22738387  2457   9339    6     1
510855468 0  0   0    246     5
730555016 22100091  53255   9339    6     1
1604511011 2579574631  39629   443    6     2
2450896561 23906566  39323   80    6     3
2153005990 2310422828  27287   443    6     1
1671310458 59506423  19031   8100    6     9
2365318345 100432185  34036   80    6     3
1838352495 16932734  54662   9339    6     2
483649726 1875764430  63794   14836    6     1
730555763 17807025  20833   9339    6     1
253278790 1797152621  37671   443    6     1
666327861 59113201  53448   15409    6     1
507183201 19904842  63763   80    6     5
2153052056 1797163971  38977   443    6     1
220000011 1185939630  16427   51413    17     2
3080788977 66794158  53157   80    6     1
1838352614 17573443  19481   9339    6     2
234181624 18962534  56351   443    6     4
3715823324 1714138340  42274   443    6     6
730555796 16920503  55338   9339    6     1
3524720745 3546973361  443   12944    6     8
1800329891 100432468  42377   80    6     3
1889288996 25122999  39850   80    6     3
1703915415 1093332245  53372   80    6     4
3481800389 23111433  38504   443    6     5
730555784 21792296  55432   9339    6     1
3524720745 3546973361  443   12974    6     8
23871848 23131493  51408   80    6     2
3506911489 100426853  49479   80    6     3
865343149 1714138122  52424   443    6     1
3377248209 3530299929  64809   5990    6     3
1713169222 2579574543  62360   9050    6     7
2462493104 3530302756  49898   80    6     6
1956915391 66650869  40143   4244    6     1
3079314579 19278721  39209   9339    6     2
3597573584 602983422  42471   443    6     6
730555807 16835430  51392   9339    6     1
1274946659 2766477037  4247   3050    6     3
1331345398 1875764336  51413   51380    6     7
3575904870 3352617949  443   53499    6     5
2464562669 3547002473  51510   80    6     2
2341638419 602983364  44086   443    6     14
730555797 17038160  48312   9339    6     1
1800324126 100412011  26279   80    6     4
2186112229 21055523  35843   443    6     1
730555763 19114671  50376   9339    6     1
1189814755 1093332245  10563   80    6     3
3537871385 1714137623  56890   443    6     11
730555751 99651588  29249   9339    6     1
2385444277 2579592484  38280   443    6     11
2186112226 3632943682  20804   80    6     6
1107744201 1099796581  443   58555    6     4
1614130902 24940148  65232   443    6     3
730555790 23563012  57349   9339    6     2
1671311015 26222897  47239   8100    6     4
1256737706 724248592  80   14884    6     6
1714355725 721988150  56876   80    6     68
730555656 2310469933  50498   9339    6     1
730555792 19068949  34069   9339    6     1
1783899899 17038160  20273   9339    6     1
730555773 16932734  17375   9339    6     1
1113896665 3382359549  31046   16402    17     5
1970823579 99824640  43840   443    6     3
2183145276 2828250030  25   46094    6     11
730555784 21792296  50265   9339    6     2
3597182439 602983364  40414   443    6     6
730555774 17804973  28368   9339    6     1
666346176 26713802  55145   9339    6     2
3481809070 23111367  10536   443    6     11
730555814 17765265  26904   9339    6     1
1758142534 3530320757  61315   80    6     2
1113901348 2523129750  23735   443    6     2
497139693 3519279301  33055   27017    6     1
3083822441 60256899  50842   80    6     1
3336045560 2766903236  995   40851    6     5
1098201961 2472884175  33414   443    6     6
2451942517 722836099  37043   80    6     2
3548108894 1156179193  53   39817    17     1
1671310434 26270610  50298   8100    6     2
3709882281 21210824  53   62446    17     1
1739431301 2579592504  51366   80    6     9
730555773 22738387  28008   9339    6     2
3376446286 23118168  33343   443    6     24
2298277095 724248594  2001   2001    17     5
722315039 1146270119  80   59412    6     19
722791680 2579574645  54007   443    6     6
1617119884 19871853  7165   443    6     4
3597184533 602983364  52554   443    6     3
1925553951 737993020  33559   80    6     8
3700207266 3530305965  65186   80    6     4
1663749281 65832599  58360   443    6     2
2051273915 26289460  28802   13105    6     1
730620156 736139642  13228   61828    6     14
3481843099 23111433  3273   443    6     6
1280402456 721986662  22938   443    6     17
730555810 16835430  2188   9339    6     1
3262488400 1875764379  24329   34378    17     11
2481191077 3547002473  51683   80    6     1
666487344 2637498118  48608   5938    6     1
2498932362 23111174  49336   443    6     1
